TAZ,Work_0,Work_1,Work_2,Work_3,Work_4,University,School,Escort,Maintenance,Discretionary,AtWork
2011,1.37607,0.60126,1.24721,0.65047,-0.54838,1.87622,0.32817,0,0,0,0
2012,1.29747,0.60424,1.08271,0.56978,-0.50623,0,0,0,0,0,0
2013,1.24848,0.64831,1.11101,0.24543,-0.47884,1.80993,0.05714,0,0,0,0
2014,0.99024,0.95754,1.26086,0.3836,-0.47618,1.67277,-0.08101,0,0,0,0
2015,1.17334,0.61132,1.31316,0.67002,-0.69484,2.01281,0,0,0,0,0
2016,0.85493,0.34859,0.96554,0.35663,-0.77975,1.66239,-1.21709E-4,0,0,0,0
2017,1.05861,0.4962,0.97685,0.33758,-0.62597,1.429,0,0,0,0,0
2018,1.3905,0.83757,1.20765,0.43531,-0.57292,0,0,0,0,0,0
2019,0.827,0.39625,0.87647,0.23277,-0.78655,1.41265,-0.16051,0,0,0,0
2020,0.94951,0.52002,1.26573,0.22553,-0.67372,0,0.04572,0,0,0,0
2021,0.92694,0.35378,0.94078,0.3762,-0.74874,1.59558,-0.52015,0,0,0,0
2022,1.27269,0.73088,1.19412,0.60294,-0.7665,2.00973,0,0,0,0,0
2023,1.71748,0.84025,1.21741,0.72263,-0.43246,1.84111,0,0,0,0,0
2024,2.11839,1.19697,1.40565,0.58666,-0.75129,1.87189,0.84472,0,0,0,0
2025,1.15564,0.71708,1.11947,0.51469,-0.59981,1.81973,0.01553,0,0,0,0
2026,1.33746,0.67707,1.00848,0.42935,-0.9673,1.44755,-0.21955,0,0,0,0
2027,1.08889,0.56207,0.91403,0.28739,-0.68037,1.92377,0.27205,0,0,0,0
2028,1.16709,1.00706,1.21144,0.81202,-0.58559,2.69454,0,0,0,0,0
2029,0.97085,0.71929,1.17167,0.22889,-0.42808,1.54149,-0.88603,0,0,0,0
2030,-0.8404,0.76569,2.01555,1.42115,1.09142,0,0,0,0,0,0
2031,1.28184,0.59977,1.06247,0.52732,-0.58681,1.93854,0.11863,0,0,0,0
2032,0.9682,0.5015,1.00072,0.24726,-0.77513,1.62008,-0.17253,0,0,0,0
2033,0.939,0.3879,0.79918,0.27572,-0.70069,1.27884,0,0,0,0,0
2034,-1.10252,0.0177,1.32477,0.77055,-0.23339,3.0454,-3.78536,0,0,0,0
2035,1.29072,1.15111,1.07758,0.60482,-0.25862,1.02353,0,0,0,0,0
2036,1.94152,1.0805,1.28159,0.76,-0.77057,1.62807,0,0,0,0,0
2037,1.15956,0.65949,1.12854,0.59181,-0.65273,1.77956,0.08344,0,0,0,0
