TAZ,STATE,COUNTY,DMA,STL_Zone,region,CBM_Ext
7725,Florida,Jefferson,2,207,2_North Central,11542
8598,Florida,Gadsden,2,46,2_North Central,11528
8057,Florida,Nassau,3,110,3_Northeast,11559
8273,Florida,Escambia,1,40,1_Northwest,11503
8067,Florida,Nassau,3,109,3_Northeast,11559
8104,Florida,Walton,1,161,1_Northwest,11520
8061,Florida,Nassau,3,109,3_Northeast,11559
8258,Florida,Escambia,1,40,1_Northwest,11503
8062,Florida,Nassau,3,110,3_Northeast,11558
8594,Florida,Gadsden,2,46,2_North Central,11528
8277,Florida,Escambia,1,41,1_Northwest,11505
7726,Florida,Jefferson,2,207,2_North Central,11542
8592,Florida,Gadsden,2,47,2_North Central,11538
8625,Florida,Jackson,1,74,1_Northwest,11534
8278,Florida,Escambia,1,41,1_Northwest,11505
8279,Florida,Escambia,1,40,1_Northwest,11505
8280,Florida,Escambia,1,40,1_Northwest,11505
8601,Florida,Gadsden,2,47,2_North Central,11538
8599,Florida,Gadsden,2,46,2_North Central,11528
8597,Florida,Gadsden,2,46,2_North Central,11528
8058,Florida,Nassau,3,110,3_Northeast,11558
8101,Florida,Walton,1,161,1_Northwest,11520
8593,Florida,Gadsden,2,47,2_North Central,11538
8626,Florida,Jackson,1,74,1_Northwest,11530
8499,Florida,Washington,1,163,1_Northwest,11525
8069,Florida,Nassau,3,109,3_Northeast,11559
7724,Florida,Jefferson,2,207,2_North Central,11542
7990,Florida,Leon,2,85,2_North Central,11542
7987,Florida,Leon,2,85,2_North Central,11540
8450,Florida,Santa Rosa,1,138,1_Northwest,11511
8624,Florida,Jackson,1,74,1_Northwest,11530
8401,Florida,Okaloosa,1,114,1_Northwest,11515
8652,Florida,Jackson,1,74,1_Northwest,11530
8532,Florida,Washington,1,163,1_Northwest,11525
8534,Florida,Washington,1,163,1_Northwest,11525
8414,Florida,Okaloosa,1,114,1_Northwest,11515
8114,Florida,Walton,1,161,1_Northwest,11520
8113,Florida,Walton,1,161,1_Northwest,11515
8415,Florida,Okaloosa,1,114,1_Northwest,11515
8661,Florida,Jackson,1,74,1_Northwest,11529
8304,Florida,Escambia,1,39,1_Northwest,11507
8680,Florida,Jackson,1,74,1_Northwest,11530
8596,Florida,Gadsden,2,47,2_North Central,11538
8600,Florida,Gadsden,2,46,2_North Central,11528
7988,Florida,Leon,2,85,2_North Central,11542
8591,Florida,Gadsden,2,47,2_North Central,11538
7986,Florida,Leon,2,85,2_North Central,11540
8070,Florida,Nassau,3,110,3_Northeast,11559
8502,Florida,Washington,1,163,1_Northwest,11525
7989,Florida,Leon,2,85,2_North Central,11538
8595,Florida,Gadsden,2,46,2_North Central,11528
8500,Florida,Washington,1,163,1_Northwest,11525
8276,Florida,Escambia,1,41,1_Northwest,11505
8284,Florida,Escambia,1,40,1_Northwest,11505
8281,Florida,Escambia,1,40,1_Northwest,11505
8504,Florida,Washington,1,163,1_Northwest,11525
8604,Florida,Gadsden,2,46,2_North Central,11528
8283,Florida,Escambia,1,40,1_Northwest,11505
8602,Florida,Gadsden,2,46,2_North Central,11528
7991,Florida,Leon,2,85,2_North Central,11540
7992,Florida,Leon,2,85,2_North Central,11538
8610,Florida,Gadsden,2,47,2_North Central,11538
8282,Florida,Escambia,1,40,1_Northwest,11503
8606,Florida,Gadsden,2,47,2_North Central,11538
8286,Florida,Escambia,1,40,1_Northwest,11505
8452,Florida,Santa Rosa,1,138,1_Northwest,11511
8288,Florida,Escambia,1,40,1_Northwest,11505
8609,Florida,Gadsden,2,47,2_North Central,11538
8285,Florida,Escambia,1,40,1_Northwest,11505
8605,Florida,Gadsden,2,47,2_North Central,11528
8627,Florida,Jackson,1,73,1_Northwest,11529
8289,Florida,Escambia,1,40,1_Northwest,11505
8612,Florida,Gadsden,2,46,2_North Central,11528
8607,Florida,Gadsden,2,47,2_North Central,11538
8454,Florida,Santa Rosa,1,138,1_Northwest,11511
8068,Florida,Nassau,3,109,3_Northeast,11559
8603,Florida,Gadsden,2,46,2_North Central,11528
8456,Florida,Santa Rosa,1,138,1_Northwest,11511
8453,Florida,Santa Rosa,1,138,1_Northwest,11505
8615,Florida,Gadsden,2,46,2_North Central,11528
8455,Florida,Santa Rosa,1,138,1_Northwest,11505
8608,Florida,Gadsden,2,46,2_North Central,11528
8614,Florida,Gadsden,2,46,2_North Central,11528
8611,Florida,Gadsden,2,46,2_North Central,11528
8623,Florida,Jackson,1,73,1_Northwest,11529
8457,Florida,Santa Rosa,1,138,1_Northwest,11511
8072,Florida,Nassau,3,110,3_Northeast,11559
8613,Florida,Gadsden,2,46,2_North Central,11528
8616,Florida,Gadsden,2,46,2_North Central,11528
8287,Florida,Escambia,1,40,1_Northwest,11505
8503,Florida,Washington,1,163,1_Northwest,11520
8618,Florida,Gadsden,2,46,2_North Central,11528
8619,Florida,Gadsden,2,46,2_North Central,11534
8617,Florida,Gadsden,2,46,2_North Central,11528
8460,Florida,Santa Rosa,1,138,1_Northwest,11511
8505,Florida,Washington,1,163,1_Northwest,11525
8291,Florida,Escambia,1,40,1_Northwest,11505
8620,Florida,Gadsden,2,46,2_North Central,11528
8463,Florida,Santa Rosa,1,138,1_Northwest,11511
8462,Florida,Santa Rosa,1,138,1_Northwest,11505
8290,Florida,Escambia,1,40,1_Northwest,11505
8628,Florida,Jackson,1,74,1_Northwest,11530
8465,Florida,Santa Rosa,1,138,1_Northwest,11511
8448,Florida,Santa Rosa,1,138,1_Northwest,11511
8384,Florida,Okaloosa,1,114,1_Northwest,11515
8631,Florida,Jackson,1,74,1_Northwest,11534
8622,Florida,Gadsden,2,46,2_North Central,11528
8466,Florida,Santa Rosa,1,138,1_Northwest,11511
8458,Florida,Santa Rosa,1,138,1_Northwest,11511
8461,Florida,Santa Rosa,1,138,1_Northwest,11511
8459,Florida,Santa Rosa,1,138,1_Northwest,11511
8629,Florida,Jackson,1,73,1_Northwest,11529
8468,Florida,Santa Rosa,1,138,1_Northwest,11511
8071,Florida,Nassau,3,110,3_Northeast,11558
8630,Florida,Jackson,1,73,1_Northwest,11530
8292,Florida,Escambia,1,40,1_Northwest,11505
8501,Florida,Washington,1,163,1_Northwest,11525
8506,Florida,Washington,1,163,1_Northwest,11525
8634,Florida,Jackson,1,74,1_Northwest,11530
8632,Florida,Jackson,1,73,1_Northwest,11529
8469,Florida,Santa Rosa,1,138,1_Northwest,11511
8507,Florida,Washington,1,163,1_Northwest,11525
8635,Florida,Jackson,1,73,1_Northwest,11530
8471,Florida,Santa Rosa,1,138,1_Northwest,11511
8075,Florida,Nassau,3,110,3_Northeast,11558
8637,Florida,Jackson,1,74,1_Northwest,11534
8467,Florida,Santa Rosa,1,138,1_Northwest,11511
8470,Florida,Santa Rosa,1,138,1_Northwest,11505
